col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
San Ignacio Municipality,164,[0]
Sudzal,30,[0]
Teya,9,[0]
Tekal de Venegas,20,[0]
Uayma,30,[0]
Tampacan,186,[0]
Galeana Municipality,1655,[0]
Tierra Nueva,2055,[0]
Doctor Arroyo,1749,[0]
Villa de la Paz,1895,[0]
Huehuetla Municipality,778,[0]
El Naranjo,498,[0]
Cuichapa,472,[0]
Hueyapan de Ocampo,87,[0]
Coacoatzintla,1722,[0]
Tlaltetela,930,[0]
Colipa,189,[0]
Tlacoachistlahuaca,660,[0]
Florencio Villarreal,16,[0]
La Huerta,150,[0]
San Ciro de Acosta,1073,[0]
