col0,col1,col2,col3,"Metadata:CTA:[0, 3],CPA:[[0, 1], [0, 3], [0, 2]]"
Essex County,Essex County,740,Virginia,"[0, 1, 3]"
Chesterfield County,Chesterfield County,1132,Virginia,"[0, 1, 3]"
Clarke County,Clarke County,462,Virginia,"[0, 1, 3]"
Floyd County,Floyd County,987,Virginia,"[0, 1, 3]"
Madison County,Madison,833,Virginia,"[0, 1, 3]"
Rappahannock County,,691,Virginia,"[0, 3]"
Nelson County,Nelson County,1228,Virginia,"[0, 1, 3]"
Wise County,Wise County,405,Virginia,"[0, 1, 3]"
Richmond County,Richmond County,560,Virginia,"[0, 1, 3]"
Scott County,Scott County,1395,Virginia,"[0, 1, 3]"
