col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Venus snow,,snow,"[0, 2]"
Golden Days,Leduc County,,"[0, 1]"
Arllechwedd Uchaf,Arllechwedd,,"[0, 1]"
"Glynco, Georgia",,Naval Air Station Glynco,"[0, 2]"
Mundamveli,Fort Kochi,,"[0, 1]"
"Caledonia, New Brunswick",Moncton,,"[0, 1]"
Yeu,,Île d'Yeu,"[0, 2]"
Yavorova polyana,,Peyo Yavorov,"[0, 2]"
Mazagran,Mostaganem,,"[0, 1]"
Sidi M'Hamed,,Sidi M'hamed Bou Qobrine,"[0, 2]"
Shire of Ballan,Shire of Bacchus Marsh,,"[0, 1]"
Wkra-Basin,,Wkra,"[0, 2]"
