col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Marion Township,321,18.01,[0]
Kapioma Township,283,122.97,[0]
Rock Creek Township,403,36.12,[0]
Ionia Township,482,39.52,[0]
Rock Creek Township,299,54.68,[0]
Lone Elm Township,337,119.8,[0]
Sibley Township,419,35.88,[0]
Payne Township,428,31.05,[0]
Plymouth Township,513,107.44,[0]
Logan Township,684,35.91,[0]
Rockford Township,400,39.35,[0]
Sarcoxie Township,309,31.03,[0]
Minneha Township,420,16.98,[0]
Powhattan Township,334,89.82,[0]
Newton Township,447,26.77,[0]
Irving Township,302,53.01,[0]
