col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
Ulzurrun,Spanish,"[0, 1]"
Ossés,Spanish,"[0, 1]"
Munain,Spanish,"[0, 1]"
Fontenla,Spanish,"[0, 1]"
Tamames,Spanish,"[0, 1]"
Ambrona,Spanish,"[0, 1]"
Galeote,Spanish,"[0, 1]"
Regueras,Spanish,"[0, 1]"
Godos,Spanish,"[0, 1]"
Queiles,Spanish,"[0, 1]"
Contamina,Spanish,"[0, 1]"
Tarczynska,Polish,"[0, 1]"
Turczynska,Polish,"[0, 1]"
Turczyńska,Polish,"[0, 1]"
Ranera,Italian,"[0, 1]"
Bruchhagen,German,"[0, 1]"
Preetz,German,"[0, 1]"
Mühlenberg,German,"[0, 1]"
Teßendorf,German,"[0, 1]"
Tessendorff,German,"[0, 1]"
Middendorff,German,"[0, 1]"
Grundschöttel,German,"[0, 1]"
von Bayern,German,"[0, 1]"
Schweinfurt,German,"[0, 1]"
