col0,col1,col2,"Metadata:CTA:[0, 1],CPA:[[0, 1], [0, 2]]"
Kodoku no Hito,,262.0,[0]
Princess Masako: Prisoner of the Chrysanthemum Throne,,336.0,[0]
Perfect Memento in Strict Sense,Kususaga Rin,166.0,"[0, 1]"
Loop,,378.0,[0]
"The Comprehensive Sourcebook of Bacterial Protein Toxins, Third Edition",,1047.0,[0]
Kaza-hana,,334.0,[0]
"The General Theory of Employment, Interest and Money",,472.0,[0]
Zepter Museum Collection,,348.0,[0]
Kabe,Hiroshi Katsuragawa,,"[0, 1]"
Kyokuhoku Rhapsody,,389.0,[0]
Repast,,375.0,[0]
S,,295.0,[0]
Whatever Happened to the Hall of Fame?,,320.0,[0]
Lemon,,271.0,[0]
Sprich wie ein Klingone,,24.0,[0]
Oshiire no Bōken,Seiichi Tabata,80.0,"[0, 1]"
After Dark,,288.0,[0]
