col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
real estate photographer,,media industry,"[0, 2]"
audio engineer,mixing engineer,,"[0, 1]"
insurance manager,,insurance industry,"[0, 2]"
pawnbroker,pawn ticket,,"[0, 1]"
Political person,,politics,"[0, 2]"
appliance repair,,home appliance industry,"[0, 2]"
salesperson,property consultant,,"[0, 1]"
stockbroker,,securities industry,"[0, 2]"
marketing educator,,education industry,"[0, 2]"
French Civil Service,civil service of the State,,"[0, 1]"
stove grate manufacturer,,ferrous metallurgy,"[0, 2]"
