col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
marble bust of Marie-Louise Gabrielle of Savoy,0.95,0.4,0.48,[0]
Bust of a Young Black Man,13.0,7.5,12.5,[0]
Portrait d'Agrippine l'Ainée - Louvre Ma 1271,38.0,24.0,26.0,[0]
Portrait of Germanicus,43.5,25.0,25.0,[0]
"Musée Saint-Raymond, Ra 342 c",41.2,26.5,24.0,[0]
Bust of Robert Burns,14.5,6.5,13.5,[0]
The Physician Oscar Nissen,40.0,24.0,46.5,[0]
"Bust of Man, Yale University Art Gallery, inv. 1929.360",10.8,6.2,9.0,[0]
Ibero-Roman veiled lady,60.0,25.0,55.0,[0]
Portrait of Clodius Albinus,60.0,30.5,58.0,[0]
portrait of Pittacos,44.0,21.5,26.5,[0]
bust of a Sassanid king,32.0,10.6,23.8,[0]
Serapis,62.0,34.0,40.0,[0]
bust of Ptolemy of Mauretania,37.0,23.0,22.0,[0]
Buste de Jean-François Champollion en habit d'académicien,89.5,42.0,66.0,[0]
portrait of Augustus as a young man,28.5,19.0,20.0,[0]
bust of Antinous,74.0,0.5,0.7,[0]
Alabaster head,20.5,8.5,11.0,[0]
Woman's head,10.0,7.8,9.0,[0]
