col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Cumbria Community Foundation,12,3359601,[0]
Berkshire Community Foundation,7,1414152,[0]
Middlesbrough and Teesside Philanthropic Foundation,4,578254,[0]
Amy Winehouse Foundation,7,630572,[0]
Joseph Rowntree Foundation,713,29241000,[0]
Haniel Stiftung,4,2250000,[0]
Dominikus-Ringeisen-Werk,4511,183000000,[0]
Deutsche Stiftung Verbraucherschutz,3,526021,[0]
San Francisco AIDS Foundation,261,31786296,[0]
WWF Deutschland,493,92415000,[0]
Wilhelm Sander Stiftung,30,19805000,[0]
Dachstiftung Diakonie,3509,183600000,[0]
Open Knowledge Foundation Germany,28,2532000,[0]
Albert Schweitzer Foundation for Our Contemporaries,41,2553634,[0]
NABU-Stiftung Nationales Naturerbe,32,5760000,[0]
AIDS-Fondet,75,3812045,[0]
Deutsches Zentralinstitut für Soziale Fragen,21,1638591,[0]
Deutsche Wildtier Stiftung,58,10422070,[0]
Deutsche Telekom Stiftung,21,9373962,[0]
