col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Johnson Township,167,24.15,[0]
Johnson Township,140,40.64,[0]
Johnson Township,292,35.63,[0]
Johnson Township,211,17.83,[0]
Johnson Township,291,54.98,[0]
Johnson Township,203,31.38,[0]
Johnson Township,278,26.67,[0]
Anderson Township,263,37.25,[0]
Anderson Township,125,59.5,[0]
Anderson Township,295,35.42,[0]
Anderson Township,130,22.13,[0]
Pigeon Township,117,11.03,[0]
Pigeon Township,125,40.58,[0]
Butler Township,260,23.75,[0]
Butler Township,279,30.36,[0]
Butler Township,244,29.84,[0]
Redding Township,197,34.61,[0]
Princeton Township,211,62.53,[0]
York Township,297,22.19,[0]
York Township,147,24.23,[0]
