col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Spencer Dam,1927-01-01,,[0]
Spring Creek Dam,,1963-01-01,[0]
Broken Bow Dam,,1961-01-01,[0]
Monticello Dam,1983-01-01,,[0]
Berke Dam,,1986-01-01,[0]
Kleivane power station,2008-01-01,,[0]
Kleivane power station,2004-01-01,,[0]
Sagelva power station,2007-01-01,,[0]
Sagelva power station,2019-01-01,,[0]
Sagelva power station,2006-01-01,,[0]
Kentucky Dam,,1938-01-01,[0]
Crystal Dam,1978-01-01,,[0]
Grand Coulee Dam,,1941-01-01,[0]
Marszowice,,1920-01-01,[0]
Fontana Dam,,1942-01-01,[0]
Wolf Creek Dam,,1941-01-01,[0]
Lower Baker Dam,,2010-01-01,[0]
Jiangya Dam,,1998-10-18,[0]
Long Lake Dam,,1915-01-01,[0]
Swift Dam,,1956-01-01,[0]
