col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
Alte Schule in Ahlsdorf,Saxony-Anhalt,"[0, 1]"
Schurwald,Baden-Württemberg,"[0, 1]"
Limni Ozeros,,[0]
Quitzöbler Dünengebiet,Brandenburg,"[0, 1]"
Lenorenwald,Mecklenburg-Western Pomerania,"[0, 1]"
Kiltartan Cave (Coole),,[0]
Fládnitzské vřesoviště,,[0]
Friesacker Zootzen,Brandenburg,"[0, 1]"
Täler von Roter Weißeritz und Oelsabach,Saxony,"[0, 1]"
Fehrenholz,Schleswig-Holstein,"[0, 1]"
Schiltach und Kaltbrunner Tal,Baden-Württemberg,"[0, 1]"
Gottesgabe,Schleswig-Holstein,"[0, 1]"
Obere Hengersberger Ohe mit Hangwiesen,Bavaria,"[0, 1]"
Binnendüne Waltersberge,Brandenburg,"[0, 1]"
