col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
Hampton Manor,1.676031,63.0,5423.0,[0]
Paris,,371.0,163.0,[0]
Paris,5.467503,,667.0,[0]
Cementon,1.751725,,1657.0,[0]
Fort Hill,3.758361,,154.0,[0]
New Bedford,6.619055,,857.0,[0]
Annapolis,,771.0,401.0,[0]
Hyannis,24.34,0.0,14089.0,[0]
Buena Vista,11.676184,185.0,5855.0,[0]
Huntington,2.915623,20.0,13749.0,[0]
Huntington,12.3,,857.0,[0]
Wolfdale,6.224773,1053.0,3055.0,[0]
Mount Olive,23.89115,185.0,4427.0,[0]
Mount Olive,,354.0,17.0,[0]
Myra,,935.0,202.0,[0]
Sorgho,,384.0,1972.0,[0]
Carriere,173.71,56.0,,[0]
Rosedale,18.49931,6.0,19961.0,[0]
West Liberty,,147.0,96.0,[0]
The Lakes,112.545893,460.0,590.0,[0]
