col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
KIC 8517859,0.09,-16.4,[0]
SDSS J025235.71+001743.9,-1.13,-9.7,[0]
KOI-6535,-0.09,-26.8,[0]
TYC 3124-1120-1,0.01,6.2,[0]
TYC 3125-3570-1,-0.13,10.7,[0]
TYC 3121-719-1,0.02,-18.2,[0]
TYC 3121-1037-1,-0.02,-30.8,[0]
TYC 3120-1273-1,0.12,14.4,[0]
TYC 3149-863-1,-0.25,-19.1,[0]
HD 226431,-0.24,9.5,[0]
USNO-A2.0 1275-13325780,-0.05,5.5,[0]
KIC 8196381,0.11,-12.6,[0]
KIC 8129588,0.03,8.3,[0]
UCAC4 671-083017,-0.03,8.0,[0]
KOI-3869,-0.11,13.9,[0]
KIC 6127239,-0.06,-2.3,[0]
KIC 5881108,-0.12,-8.6,[0]
KIC 5617102,0.07,-17.3,[0]
TYC 3134-2021-1,0.14,-15.5,[0]
TYC 3135-315-1,-0.07,7.6,[0]
Cl* NGC 2682 SAND 1280,-0.077,30.73,[0]
TYC 3142-1206-1,-0.02,3.8,[0]
TYC 3142-1661-1,0.01,24.5,[0]
BD+40 3786,0.24,-62.78,[0]
BD+41 3376,-0.06,-13.2,[0]
