col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Riggin Township,Benson County,"[0, 1]"
Acton Township,Walsh County,"[0, 1]"
Dundee Township,Walsh County,"[0, 1]"
Walsh Centre Township,Walsh County,"[0, 1]"
Addison Township,Cass County,"[0, 1]"
Dows Township,Cass County,"[0, 1]"
Adelaide Township,Bowman County,"[0, 1]"
Hay Creek Township,North Dakota,"[0, 1]"
Finley Township,North Dakota,"[0, 1]"
Esmond Township,North Dakota,"[0, 1]"
Eldon Township,North Dakota,"[0, 1]"
Dixon Township,North Dakota,"[0, 1]"
Dakota Township,North Dakota,"[0, 1]"
Captain's Landing Township,North Dakota,"[0, 1]"
Butte Valley Township,North Dakota,"[0, 1]"
"Buchanan Valley Township, Emmons County, North Dakota",North Dakota,"[0, 1]"
Bryant Township,North Dakota,"[0, 1]"
Broe Township,North Dakota,"[0, 1]"
Beaver Township,North Dakota,"[0, 1]"
Albert Township,North Dakota,"[0, 1]"
Adams Township,North Dakota,"[0, 1]"
Roseville Township,Traill County,"[0, 1]"
Lansing Township,Towner County,"[0, 1]"
Mauch Township,Sheridan County,"[0, 1]"
Yellowstone Township,McKenzie County,"[0, 1]"
