col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
boulevard Diderot,31.8,1915.0,[0]
boulevard Flandrin,12.0,820.0,[0]
boulevard de la Chapelle,42.0,1095.0,[0]
boulevard de Clichy,42.0,935.0,[0]
boulevard Carnot,26.0,570.0,[0]
boulevard Kellermann,40.0,1200.0,[0]
Bulevar de la Avenida Colombia,,780.0,[0]
Daneshgah Jang Boulevard,,0.83,[0]
boulevard des Capucines,35.4,440.0,[0]
"Pushkina Boulevard, Kremenchuk",,750.0,[0]
boulevard de Dixmude,26.0,210.0,[0]
Boulevard Royal,,770.0,[0]
New Taipei Boulevard,,10.3,[0]
boulevard Montmartre,35.0,215.0,[0]
Boulevard Knyaz Boris I,,5400.0,[0]
boulevard Jourdan,40.0,1430.0,[0]
boulevard Lannes,33.5,960.0,[0]
Siraya Boulevard,,4.6,[0]
Junipero Serra Boulevard,,7.1,[0]
Boulevard East,,4.7,[0]
Tabatabai Nasab Boulevard,,2.04,[0]
