col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
NGC 3977,13.6,5806.0,84.77,[0]
NGC 2569,14.3,5074.0,73.2,[0]
NGC 4084,14.5,6768.0,97.63,[0]
NGC 4419,11.16,-218.0,13.49,[0]
NGC 3577,13.8,5341.0,,[0]
IC 2973,15.217,3200.0,34.51,[0]
IC 1099,10.712,8860.0,,[0]
NGC 3270,13.0,6256.0,82.41,[0]
NGC 4737,14.3,6895.0,99.36,[0]
NGC 4834,14.8,11255.0,,[0]
NGC 4005,13.0,4419.0,67.14,[0]
NGC 5935,14.8,5346.0,79.36,[0]
IC 4517,14.954,5331.0,106.17,[0]
NGC 4293,10.3,895.6,16.5,[0]
IC 569,11.311,10231.0,,[0]
IC 2476,15.469,7886.0,,[0]
NGC 1149,14.2,8736.0,85.11,[0]
NGC 2638,12.8,3898.0,,[0]
IC 2759,16.491,8087.0,,[0]
NGC 4156,14.32,6708.0,98.47,[0]
PGC 33083,11.294,12580.0,185.2,[0]
NGC 2557,13.4,4868.0,69.76,[0]
IC 1186,18.3076,10434.0,197.7,[0]
