col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Daucus littoralis,,[0]
Acarna gummifera,,[0]
Silene Behen,,[0]
Lithospermum apulum,,[0]
Rumex spinosus,,[0]
View of the Tiber in the Campagna,paper,"[0, 1]"
Iris Sisyrinchium,,[0]
"Female, Turned to Right",,[0]
Paliurus australis,,[0]
Orchis papilionacea,,[0]
Teucrium Arduini,,[0]
Carlina corymbosa,,[0]
Scutellaria orientalis,,[0]
Cologne,line engraving,"[0, 1]"
Corydalis rutifolia,,[0]
Hedysarum venosum,,[0]
Hedysarum venosum,,[0]
George Jamesone,wove paper,"[0, 1]"
Anthemis discoidea,,[0]
Nottingham,wove paper,"[0, 1]"
Borago orientalis,,[0]
Allium ambiguum,,[0]
Antwerpen,,[0]
