col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Zaragoza Municipality,,2087.0,[0]
Allende Municipality,2133.0,1660.0,[0]
Tepehuanes,,2637.0,[0]
Coapilla,155.0,1804.0,[0]
Tepecoacuilco de Trujano,984.0,920.0,[0]
Santa Elena,514.0,79.0,[0]
Cajeme,4876.3,321.0,[0]
Villa Corzo,2387.0,1931.0,[0]
Tenango de Doria,176.63,1465.69,[0]
Rayones,,840.0,[0]
Tultepec,,2250.0,[0]
Tepetongo,724.01,1981.0,[0]
Huimanguillo,3717.7,591.0,[0]
Xochiatipan,135.41,449.9,[0]
Huichapan,660.71,2069.0,[0]
Moctezuma,1877.5,1142.0,[0]
Santiago Texcalcingo,,2047.0,[0]
Tasquillo,240.01,1698.36,[0]
San Marcos,305.5,1396.0,[0]
Cerro de San Pedro,,1931.0,[0]
