col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
HD 187123 b,296.7421344201621,3.0965828,0.0426,[0]
Vytis,335.51286492576287,4.4572181,0.06076,[0]
Kepler-955b,288.47146302079994,14.53244172,,[0]
WISE J1217+1626B,184.487117,47400.0,7.6,[0]
Kepler-18c,298.07945343742875,7.64159,0.0752,[0]
Kepler-742b,283.8659956656184,8.360868238,,[0]
Kepler-759b,290.1314231,41.805985,,[0]
2MASS 0219-3925 b,34.842127084335,,156.0,[0]
K2-136c,67.41247420099874,17.307137,0.1185,[0]
HD 50554 b,103.67844263633796,1240.0,2.353,[0]
