col0,col1,col2,col3,"Metadata:CTA:[0, 3],CPA:[[0, 2], [0, 3], [0, 1]]"
Trindade,3.0,Vitoria,Brazil,"[0, 2, 3]"
Balut Island,,Sarangani,Philippines,"[0, 2, 3]"
Macauley Island,1.6,,New Zealand,"[0, 3]"
Late,4.4,Vava‘u,Tonga,"[0, 2, 3]"
St. George Island,8.0,Alaska,United States of America,"[0, 2, 3]"
Grande Comore,,Comoros,Comoros,"[0, 2, 3]"
Heard Island,26.0,Heard Island and McDonald Islands,Australia,"[0, 2, 3]"
Aogashima,2.5,Aogashima,Japan,"[0, 2, 3]"
La Gomera,,Santa Cruz de Tenerife Province,Spain,"[0, 2, 3]"
Volcano Island,,Batangas,Philippines,"[0, 2, 3]"
Maui,42.0,Maui County,United States of America,"[0, 2, 3]"
Anjouan,,Comoros,Comoros,"[0, 2, 3]"
