col0,col1,col2,"Metadata:CTA:[0, 2],CPA:[[0, 1], [0, 2]]"
cerium-133m,cerium-133,cerium,"[0, 1, 2]"
cerium-135m,cerium-135,cerium,"[0, 1, 2]"
cerium-146,praseodymium-146,cerium,"[0, 1, 2]"
cerium-139,lanthanum-139,cerium,"[0, 1, 2]"
cerium-128,lanthanum-128,cerium,"[0, 1, 2]"
cerium-138,barium-138,cerium,"[0, 1, 2]"
cerium-126,lanthanum-126,cerium,"[0, 1, 2]"
cerium-155,praseodymium-155,cerium,"[0, 1, 2]"
cerium-127,lanthanum-127,cerium,"[0, 1, 2]"
cerium-147,praseodymium-147,cerium,"[0, 1, 2]"
cerium-142,neodymium-142,cerium,"[0, 1, 2]"
cerium-143,praseodymium-143,cerium,"[0, 1, 2]"
cerium-125,lanthanum-125,cerium,"[0, 1, 2]"
cerium-135,lanthanum-135,cerium,"[0, 1, 2]"
cerium-158,,cerium,"[0, 2]"
cerium-132,lanthanum-132,cerium,"[0, 1, 2]"
cerium-119,lanthanum-119,cerium,"[0, 1, 2]"
cerium-137m,cerium-137,cerium,"[0, 1, 2]"
cerium-133,lanthanum-133,cerium,"[0, 1, 2]"
cerium-120,lanthanum-120,cerium,"[0, 1, 2]"
cerium-150,praseodymium-150,cerium,"[0, 1, 2]"
cerium-151,praseodymium-151,cerium,"[0, 1, 2]"
