col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Compton's Cafeteria riot,Tenderloin,"[0, 1]"
Marblehead Riot of 1677,Marblehead,"[0, 1]"
2005 Belfast riots,,[0]
Peekskill Riots,,[0]
British West Indian labour unrest of 1934–1939,British West Indies,"[0, 1]"
2010 Deganga riots,,[0]
Słupsk street riots 1998,,[0]
Ursuline Convent Riots,Charlestown,"[0, 1]"
December 2001 riots in Argentina,,[0]
1967 Milwaukee riots,,[0]
1970 Memorial Park riot,,[0]
New London riots of 1919,,[0]
Cincinnati riots of 1841,Cincinnati,"[0, 1]"
2003 La Paz riots,,[0]
North East Delhi riots against Hindus,,[0]
