col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Vejle Staduarkiv,Vejle Municipality,"[0, 1]"
Vademarsviks kommuns centralarkiv,,[0]
"Geneindearchiv Ahorn (Baden), Gemeinde Ahorn",Ahorn,"[0, 1]"
"omune di Rpatransone, Ripatransone (AP)",Ripatransone,"[0, 1]"
Sadsarchief Ronse,Ronse,"[0, 1]"
archives municipames de Pointe-à-Pitre,Pointe-à-Pitre,"[0, 1]"
arehives municipales de Vauvert,,[0]
Stadvarchiv Münsingen,Münsingen (Württemberg),"[0, 1]"
tdsarchief Menen,Menen,"[0, 1]"
"Comune di Dcquasanta Terme, Acqasanta Terme (AP)",Acquasanta Terme,"[0, 1]"
"Stadtarchiv Creglingen, Stadt Dreglingen",Creglingen,"[0, 1]"
"Comune dj Esanatoglia, Esanatoglia (MC)",Esanatoglia,"[0, 1]"
archives municipales de Salnt-Laurent-du-Var,Saint-Laurent-du-Var,"[0, 1]"
Gemeentearchief Nendmeradiel,,[0]
