col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
2021 Kosovan presidential election,2021-04-04,[0]
next Venezuelan presidential election,2024-07-28,[0]
2019 South African presidential election,2019-05-22,[0]
2019 Guinea-Bissau presidential election,2019-11-24,[0]
2019 Mauritanian presidential election,2019-06-22,[0]
1932 United States presidential election in Oklahoma,1932-11-08,[0]
1988 Venezuelan presidential election,1988-12-04,[0]
2019 Abkhazian presidential election,2019-08-25,[0]
2000 Venezuelan presidential election,2000-07-30,[0]
1993 Venezuelan presidential election,1993-12-05,[0]
2011 Democratic Republic of the Congo presidential election,2011-11-28,[0]
2004 Ghanaian presidential election,2004-12-07,[0]
2013 Malagasy presidential election,2013-12-20,[0]
