col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Bundesstraße 221,74.0,[0]
Bundesstraße 506,35.6,[0]
Bundesstraße 326,5.4,[0]
Bundesstraße 272,15.0,[0]
Bundesstraße 87,317.0,[0]
Bundesstraße 31a,12.0,[0]
Bundesstraße 242,124.0,[0]
Bundesstraße 321,98.0,[0]
Bundesstraße 297,60.0,[0]
Bundesstraße 493,72.0,[0]
Bundesstraße 279,,[0]
Bundesstraße 89,80.0,[0]
Bundesstraße 258,165.65,[0]
Bundesstraße 414,38.0,[0]
Bundesstraße 20,,[0]
Bundesstraße 4 R,18.295,[0]
Bundesstraße 267,15.0,[0]
Bundesstraße 27a,1.9,[0]
