col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
Grant,Municipality of Tolmin,"[0, 1]"
Planina,Ajdovščina Municipality,"[0, 1]"
Topolc,Municipality of Ilirska Bistrica,"[0, 1]"
Vrh nad Laškim,Laško Municipality,"[0, 1]"
Zadlaz–Čadrg,Municipality of Tolmin,"[0, 1]"
Rimski vrelec,,[0]
Krka,Municipality of Ivančna Gorica,"[0, 1]"
Preserje pri Komnu,Komen Municipality,"[0, 1]"
Butajnova,Municipality of Dobrova–Polhov Gradec,"[0, 1]"
Vuhred,Municipality of Radlje ob Dravi,"[0, 1]"
Podsmreka pri Velikih Laščah,Municipality of Velike Lašče,"[0, 1]"
Kačiče-Pared,Municipality of Divača,"[0, 1]"
Novelo,Miren–Kostanjevica Municipality,"[0, 1]"
