col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Memorial Stadium,1923-10-20,[0]
Oracle Park,2000-04-11,[0]
Providence Park,1926-10-09,[0]
Independence Stadium,1964-01-01,[0]
Central Stadium,1962-09-27,[0]
National Stadium,2012-01-29,[0]
Kensington Oval,1882-01-01,[0]
Riverfront Stadium,1970-06-30,[0]
Volksparkstadion,1953-01-01,[0]
Stadio dei Marmi,1932-11-04,[0]
Stadium of Light,1997-01-01,[0]
Colosseum,0081-01-01,[0]
Civic Arena,1961-09-17,[0]
Racecourse Ground,1807-01-01,[0]
Markaziy Stadium,1970-01-01,[0]
