col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Ellington Township,373,[0]
Scott Township,326,[0]
Putnam Township,338,[0]
Goodrich Township,407,[0]
Eden Township,311,[0]
Wagner Township,299,[0]
Eden Township,331,[0]
Long Creek Township,317,[0]
Jackson Township,281,[0]
Oran Township,313,[0]
Richland Township,299,[0]
Osceola Township,336,[0]
Union Township,231,[0]
Jefferson Township,337,[0]
Richland Township,446,[0]
Union Township,343,[0]
Lincoln Township,313,[0]
Superior Township,426,[0]
Paradise Township,359,[0]
