col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
Boží Dar,Karlovy Vary District,"[0, 1]"
Božičany,Karlovy Vary District,"[0, 1]"
Branišov,České Budějovice District,"[0, 1]"
Boršov nad Vltavou,České Budějovice District,"[0, 1]"
Borovnice,České Budějovice District,"[0, 1]"
Borovany,České Budějovice District,"[0, 1]"
Borek,České Budějovice District,"[0, 1]"
Bradlecká Lhota,Semily District,"[0, 1]"
Brandýs nad Labem-Stará Boleslav,Prague-East District,"[0, 1]"
Bořanovice,Prague-East District,"[0, 1]"
Borek,Prague-East District,"[0, 1]"
Dolní Žandov,Cheb District,"[0, 1]"
Borovany,Písek District,"[0, 1]"
