col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
T3,2.6,[0]
Salmon Creek Railroad,0.15,[0]
Stradbally Woodland Railway,0.4,[0]
Waterford and Suir Valley Railway,10.0,[0]
Torfbahn Himmelmoor,4.0,[0]
Colebrookdale Railroad,8.6,[0]
West Coast Historical and Mechanical Society,1.5,[0]
Lea Bailey Light Railway,0.183,[0]
Jokioinen Museum Railway,14.2,[0]
T2,1.64,[0]
Giant's Causeway and Bushmills Railway,3.2,[0]
Foyle Valley Railway,4.8,[0]
Engelsberg-Norberg Railway,18.0,[0]
Cripple Creek and Victor Narrow Gauge Railroad,2.0,[0]
Chinnor and Princes Risborough Railway,8.825,[0]
Cavan and Leitrim Railway,78.0,[0]
Caledonian Railway (Brechin),3.975,[0]
Bure Valley Railway,14.5,[0]
Bredgar and Wormshill Light Railway,0.8,[0]
Bo'ness and Kinneil Railway,5.0,[0]
