col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Belgian Scond Division (basketball),basketball,"[0, 1]"
Liga Meumit,basketball,"[0, 1]"
FIBA Americas Leagxe,basketball,"[0, 1]"
Semaine des A,basketball,"[0, 1]"
Arab Nations Basketball Championsip,basketball,"[0, 1]"
Cyprus Basketbdll Division 1,basketball,"[0, 1]"
Luxembourg Bsketball Lhague,basketball,"[0, 1]"
Turkish Cup Basketbal,basketball,"[0, 1]"
Israeli asketball State Cup,basketball,"[0, 1]"
rofessional Basketbaml Superleague,basketball,"[0, 1]"
Russin Basketball Cup,basketball,"[0, 1]"
Vrlkswagen Endurance Cup.,motorsport,"[0, 1]"
ormule Fist,motorsport,"[0, 1]"
Stuttjart–Strasbourg,road bicycle racing,"[0, 1]"
IFA Beach Soccer World Cup quclification,association football,"[0, 1]"
Assenal F.C.–Manchester United F.C. rivalr,association football,"[0, 1]"
IFA Beack Soccer Wold Cup qualification,association football,"[0, 1]"
sthmian LeagueDivision One South,association football,"[0, 1]"
Liverool Senior Cup,association football,"[0, 1]"
