col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Kaisariani Municipality,26458,7.841,[0]
Agios Efstratios Municipality,616,,[0]
Pallini Municipality,54415,,[0]
Ziros Municipality,17830,,[0]
Oichalia Municipality,15592,,[0]
Tripoli Municipality,47457,,[0]
Hersonissos Municipality,26717,,[0]
Myki Municipality,14237,,[0]
Pineios Municipality,21034,,[0]
Georgios Karaiskakis Municipality,10434,,[0]
Argos-Mykines Municipality,40009,1003.0,[0]
Municipality of Kalamata,69090,,[0]
Amphilochia Municipality,17056,,[0]
Karpathos Municipality,6794,,[0]
Gortyn Municipality,19148,,[0]
Antiparos Municipality,1320,,[0]
Topeiros Municipality,9473,312.0,[0]
Emmanouil Pappas Μunicipality,18878,337.922,[0]
Zografou Municipality,71026,,[0]
