col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
DHL Aero Expreso Flight 7216,2,2,[0]
China Eastern Airlines Flight 5735,132,0,[0]
Aviogenex Flight 130,83,5,[0]
Continental Airlines Flight 603,200,31,[0]
Avianca Flight 011,23,11,[0]
Atlantic Airways Flight 670,4,12,[0]
2009 Indonesian Air Force C-130H Hercules crash,14,15,[0]
Air Canada Flight 797,46,16,[0]
Malaysian Airline System Flight 653,7,0,[0]
American Airlines Flight 587,265,16,[0]
Aero Flight 311,1,0,[0]
Tenerife airport disaster,14,61,[0]
