col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Wernfeld,,Gemünden (Main),"[0, 2]"
Sandweid,UTC+01:00,,"[0, 1]"
Gare de Baud,Central European Time,,"[0, 1]"
Nagoya Minato Station,Japan Standard Time,,"[0, 1]"
Nuremberg-Langwasser,Central European Summer Time,,"[0, 1]"
Gare de Pithiviers,Central European Time,,"[0, 1]"
Jakarta Gudang railway station,,Kampung Bandan railway station,"[0, 2]"
Iidamachi Station,Japan Standard Time,Suidōbashi Station,"[0, 1, 2]"
Akasaki Station,Japan Standard Time,Sakari Station,"[0, 1, 2]"
Fukaushi Station,Japan Standard Time,,"[0, 1]"
Fujiwara Station,Japan Standard Time,,"[0, 1]"
railway station Selommes,Central European Time,,"[0, 1]"
Niiza Freight Terminal,Japan Standard Time,,"[0, 1]"
Fujiyose Station,Japan Standard Time,Kuroyama Station,"[0, 1, 2]"
Kudara Shijō Station,Japan Standard Time,Kudara Freight Terminal,"[0, 1, 2]"
Nürnberg Hafen,,Nürnberg-Eibach,"[0, 2]"
Zhijiang Railway Station,China Standard Time,Anfusi Railway Station,"[0, 1, 2]"
Kudara Freight Terminal,Japan Standard Time,Hirano Station,"[0, 1, 2]"
Leipzig-Engelsdorf,Central European Summer Time,Leipzig Hauptbahnhof,"[0, 1, 2]"
