col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Oceania Under 20 Rugby Championship,Oceania Rugby,"[0, 1]"
United Rugby Championship,Celtic Rugby Ltd,"[0, 1]"
European Challenge Cup,European Professional Club Rugby,"[0, 1]"
Super Rugby,SANZAAR,"[0, 1]"
Campeonato Argentino,Argentine Rugby Union,"[0, 1]"
Celtic Challenge 2023,Welsh Rugby Union,"[0, 1]"
USA Rugby Women's Premier League,USA Rugby,"[0, 1]"
Seven Luis Casali Casanave,,[0]
Élite 2,French Rugby Federation,"[0, 1]"
Super Liga Americana de Rugby,Sudamérica Rugby,"[0, 1]"
