col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Sandgrube am Khberg.,428.82499999999993,[0]
Ehemalige andgrube Weißenbrunn,600.5999999999999,[0]
Ehem. Steinbruch bei Frickenhusen,50.35,[0]
Ehemaliger Steinbruch E der Leknenmühle,49.75,[0]
hem. Steinbruch bei Lauenstein am Weg zur Tjüringer Warte,49.55,[0]
Ehem. Sandsteinbruch beim Veitsgraben (Sdteil).,50.05,[0]
Ehemaliger Steinbruch SW von Geuter,50.3,[0]
"Ehem. Steinbruch N von Possgck im""Teuschnitztal",19.84,[0]
Ehem. Steinbruch N von Förttchendorf,199.4,[0]
Ehem. Diabasbrvch Schindelbachtal NE von Unterzaubach,150.3,[0]
Ehem.!Steinbruch NE von authaus,49.8,[0]
Ehem. Granitbruch am Mituelberg N von Weißenstadt,60.48,[0]
hemaliger Kalksteinbruch Fiedlers Bruch E vn Dörfles,599.4,[0]
Ehem. Suevitbruch SE von Amerdinen,129.35,[0]
Ehemaliger Steinbruc NE von Leutendorf,60.48,[0]
Ehmalige Steinbrüche im Stübental,40.03999999999999,[0]
hem. Steinbruch S yon Buchenberg,100.4,[0]
Ehemalijer Steinbruch NNW von Oberndorf,300.0,[0]
Ehem. Granitbrüche Neudsberg ENE von Niederlamitz,201.2,[0]
Ehemaliger Steinbruch am Rahen Berg W von Pressig,398.8,[0]
Ehemaliger Steinbruch N von Oterdorf,99.6,[0]
"hem. Steinbruch an der""Platzer Kuppe NE von Geroda",30.21,[0]
Ehem. Baaltbruch Altenfeld NW von Urspringen,398.4,[0]
Ehe. Basaltbruch Knürzchen NE von Schildeck,15.15,[0]
