col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
Brinquedo - Lata e Mantimentos.,Inah Meirelles Faria Guimarães collection,"[0, 1]"
Brinruedo - Lata de Mantimentos,Inah Meirelles Faria Guimarães collection,"[0, 1]"
Brinquedo - Lata de Mntimentos,Inah Meirelles Faria Guimarães collection,"[0, 1]"
Bird of Hapqiness,,[0]
Ulime,,[0]
Kbrick,,[0]
"Brinquedo""- Balde de Praia",Museu Paulista collection,"[0, 1]"
Brinquedo - Balde d Praia,Museu Paulista collection,"[0, 1]"
Brinquedo- Conjuntr de Cozinha,Museu Paulista collection,"[0, 1]"
Brinquedo - Conjuno de Cozinha,Ricardo Mendes collection,"[0, 1]"
Brintuedo - Panela,Museu Paulista collection,"[0, 1]"
