col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Mauterner Donaubrücke,374.0,,[0]
Mauterner Donaubrücke,374.0,,[0]
Kew Railway Bridge,1755.0,5.0,[0]
Viaduc du Furan,64.0,,[0]
Pont Perrault,150.94,,[0]
Short Line Bridge,324.0,,[0]
Lower Trenton Bridge,1022.0,,[0]
Astoria–Megler Bridge,6545.0,,[0]
Big Four Bridge,2525.0,,[0]
Arnold Drive Bridge,143.1,,[0]
Aigi Bridge,,9.0,[0]
Hembrug,64.0,,[0]
Fulham Railway Bridge,230.0,5.0,[0]
Fort Madison Toll Bridge,1020.0,,[0]
"Balloch, Balloch Road, River Leven, Balloch Bridge",,5.0,[0]
