col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Boon Township,84.93,129,[0]
Prairie Township,24.0,205,[0]
Prairie Township,40.73,319,[0]
Prairie Township,35.76,260,[0]
Prairie Township,39.69,273,[0]
Prairie Township,47.66,223,[0]
Prairie Township,66.61,209,[0]
Niles Township,29.61,283,[0]
Kent Township,14.11,209,[0]
Medina Township,27.07,213,[0]
Floyd Township,34.39,259,[0]
Keener Township,48.26,203,[0]
Hammond Township,42.1,122,[0]
Winfield Township,25.06,222,[0]
Abington Township,21.17,326,[0]
Rushville Township,43.94,296,[0]
Finley Township,39.62,190,[0]
Carpenter Township,52.38,225,[0]
Steele Township,43.39,137,[0]
Oregon Township,36.12,213,[0]
Oregon Township,31.27,203,[0]
Iroquois Township,36.8,197,[0]
Honey Creek Township,14.72,259,[0]
