col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Steinkreuz in Oberwurmbach,114.0,[0]
Steinkreuz Weidenberg 2,75.0,[0]
Kreuzstein Waischenfeld 1,75.0,[0]
Steinkreuz in Mittelramstadt,,[0]
Steinkreuz in Kirschendorf,,[0]
Penitence cross 0183,,[0]
"Zwei Steinkreuze, wohl Sühnekreuze",,[0]
Steinkreuz 2 am Friedhof in Spalt,50.0,[0]
Schwedenkreuz bei Unterhegenau,,[0]
Steinkreuze in Hagenau,,[0]
Steinkreuznest von fünf Steinkreuzen bei Stübach,,[0]
Kreuzstein Stadtweg,70.0,[0]
Penitence cross 0422,47.0,[0]
Steinkreuz in Rothenburg (1),54.0,[0]
Sühnestein in Fetschendorf,,[0]
