col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Neo Geo,Playmore,"[0, 1]"
Alexander McQueen,Kering,"[0, 1]"
Kingsford,Clorox,"[0, 1]"
Dynex,Best Buy,"[0, 1]"
Insignia,Best Buy,"[0, 1]"
Iope,Amorepacific Corporation,"[0, 1]"
Trilex,Die Länderbahn,"[0, 1]"
Kinder,Ferrero SpA,"[0, 1]"
Enno,Metronom Eisenbahngesellschaft,"[0, 1]"
Monte,Zott SE & Co. KG,"[0, 1]"
Up,EL AL Israel Airlines Ltd.,"[0, 1]"
Ralph Lauren,L'Oréal,"[0, 1]"
Agenda,Vy,"[0, 1]"
Selecta,RFM Corporation,"[0, 1]"
Xbox,Microsoft,"[0, 1]"
Iryo,ILSA,"[0, 1]"
Leggero,Brüggli,"[0, 1]"
IDEAL,Krug + Priester,"[0, 1]"
Phonola,Waters Conley Co.,"[0, 1]"
Rapira,"Mostochlegmash, PJSC","[0, 1]"
Timor,Giesen & Forsthoff,"[0, 1]"
Cowbell,Promasidor Nigeria,"[0, 1]"
