col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Typhoon Bart,140,[0]
Typhoon Sarah,165,[0]
Typhoon Ida,70,[0]
Typhoon Faxai,105,[0]
Typhoon Khanun,115,[0]
Typhoon Dujuan,125,[0]
Typhoon Cimaron,140,[0]
Typhoon Yutu,130,[0]
Typhoon Mitag,95,[0]
Typhoon Judy,97,[0]
Typhoon Pamela,100,[0]
Typhoon Songda,125,[0]
Typhoon Yuri,150,[0]
Typhoon Wipha,135,[0]
Typhoon Utor,100,[0]
Typhoon Soudelor,115,[0]
Typhoon Ruby,125,[0]
Typhoon Rammasun,110,[0]
Typhoon Pamela,130,[0]
Typhoon Nida,140,[0]
Typhoon Mitag,140,[0]
Typhoon Meranti,90,[0]
Typhoon Koryn,130,[0]
Typhoon Kirogi,115,[0]
