col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Basilica in Katowice Panewniki,Catholicism,"[0, 1]"
Basilica of Our Lady of Sorrows in Limanowa,Catholicism,"[0, 1]"
Pura Goa Lawah,Balinese Hinduism,"[0, 1]"
St. Nicholas Chappel in Novosibirsk,Eastern Orthodoxy,"[0, 1]"
Church of St. John the Theologian (Saransk),Eastern Orthodoxy,"[0, 1]"
Kazansky Bogoroditsky Monastery,Eastern Orthodoxy,"[0, 1]"
Mount St. Sepulchre Franciscan Monastery,Catholicism,"[0, 1]"
Church of St Helen,Anglicanism,"[0, 1]"
Rostov Kremlin. Bell Tower,Eastern Orthodoxy,"[0, 1]"
Wooden church of Saint George in Kolomenskoye,Eastern Orthodoxy,"[0, 1]"
Synagogue in Yekaterinburg,Judaism,"[0, 1]"
Franciscan Monastery in Panewniki,Catholicism,"[0, 1]"
Kalwaria Panewnicka,Catholicism,"[0, 1]"
Orthodox church in Telšiai,Eastern Orthodoxy,"[0, 1]"
Alexander Nevsky Lavra,Eastern Orthodoxy,"[0, 1]"
Cathedral of the Archangel,Eastern Orthodoxy,"[0, 1]"
Saint Sophia Cathedral,Eastern Orthodoxy,"[0, 1]"
Fatih Istanbul Mosque,Eastern Orthodoxy,"[0, 1]"
Basilica of Our Lady of the Pillar,Latin Church,"[0, 1]"
Wat Phra Kaeo,Theravāda,"[0, 1]"
Uppsala Cathedral,Lutheranism,"[0, 1]"
"Franciscan friary and church of St John the Baptist, Kraljeva Sutjeska",Catholicism,"[0, 1]"
Varnhem Abbey,Catholicism,"[0, 1]"
Vreta Abbey,Catholicism,"[0, 1]"
