col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Tupy,Brazil,"[0, 1]"
Bory,Poland,"[0, 1]"
Hihifo,France,"[0, 1]"
Pedro Barros,Brazil,"[0, 1]"
Machanga,Mozambique,"[0, 1]"
Lodi District,Kingdom of Italy,"[0, 1]"
Blackley,United Kingdom,"[0, 1]"
Macucos,Brazil,"[0, 1]"
Swinton,United Kingdom,"[0, 1]"
Kyle,United Kingdom,"[0, 1]"
Netherton,United Kingdom,"[0, 1]"
Pinheiros,Brazil,"[0, 1]"
Amuri,Finland,"[0, 1]"
Praga,Poland,"[0, 1]"
Llanrumney,United Kingdom,"[0, 1]"
Kebun Baru,Singapore,"[0, 1]"
Little India,Singapore,"[0, 1]"
Montmartre,France,"[0, 1]"
Mardistan,Kingdom of Armenia,"[0, 1]"
San Roque,Philippines,"[0, 1]"
Lapuz,Philippines,"[0, 1]"
