col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 3]]"
Sidi Azzouz,2578,,14356,[0]
Chouafaa,3072,,18436,[0]
Zirara,3303,,16606,[0]
Aoulouz,3633,,17409,[0]
Almis Marmoucha,475,,2461,[0]
Masmouda,3650,,16106,[0]
Kissane,3036,,13390,[0]
Anougal,874,,4353,[0]
Ounagha,2807,,12461,[0]
Sidi Harazem,1228,,5622,[0]
Tancherfi,1071,,6433,[0]
Soualem,8454,,36765,[0]
Oulad Azzouz,1754,,9815,[0]
Missour,5923,895.0,25584,[0]
Amtar,1766,,10574,[0]
Haddada,2758,,15898,[0]
Tiout,664,,2920,[0]
Moulay Abdelkader,1386,,7896,[0]
Oulad Sbaita,4392,,25650,[0]
Brikcha,2438,,10399,[0]
Mezguita,970,,8451,[0]
Ait Youssef Ou Ali,2598,,12673,[0]
Haouzia,5684,,28821,[0]
Souihla,5552,,28164,[0]
