col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Gradnje,Municipality of Sežana,"[0, 1]"
Sodji Vrh,Municipality of Semič,"[0, 1]"
Bač,Municipality of Ilirska Bistrica,"[0, 1]"
Češenik,Municipality of Domžale,"[0, 1]"
Šentjanž pri Dravogradu,Municipality of Dravograd,"[0, 1]"
Križe,Municipality of Tržič,"[0, 1]"
Šmihel pod Nanosom,Municipality of Postojna,"[0, 1]"
Mavčiče,City Municipality of Kranj,"[0, 1]"
Sts. Peter and Paul Parish Church,Municipality of Osilnica,"[0, 1]"
Sts. Simon and Jude Parish Church (Voglje),Municipality of Šenčur,"[0, 1]"
Church of Saint James the Greater,Municipality of Brežice,"[0, 1]"
Črni Vrh,Municipality of Idrija,"[0, 1]"
