col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
Utah Department of Corrections,Draper,"[0, 1]"
Nebraska Department of Correctional Services,,[0]
Delaware Department of Correction,Dover,"[0, 1]"
South Dakota Department of Corrections,Pierre,"[0, 1]"
New York State Department of Corrections and Community Supervision,,[0]
Alaska Department of Corrections,Anchorage,"[0, 1]"
Corrective Services NSW,,[0]
New Jersey Department of Corrections,,[0]
New Mexico Corrections Department,,[0]
Wisconsin Department of Corrections,Madison,"[0, 1]"
