col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Argelato,9635,35.1,[0]
Mercenasco,1313,12.64,[0]
Volvera,8477,20.98,[0]
San Marzano di San Giuseppe,8892,19.19,[0]
Alto,149,7.46,[0]
Viadanica,1123,5.45,[0]
Molinara,1453,24.16,[0]
Monte Marenzo,1834,3.06,[0]
Felizzano,2106,25.01,[0]
Dosso del Liro,238,23.49,[0]
Castino,449,15.52,[0]
Verdellino,7535,3.82,[0]
Germagnano,1123,14.44,[0]
Pastrengo,3062,9.0,[0]
Capolona,5209,47.56,[0]
Mottola,15310,213.96,[0]
Caprauna,88,11.5,[0]
Cercino,802,5.69,[0]
Traversella,311,39.36,[0]
Airasca,3681,15.74,[0]
Madesimo,507,85.66,[0]
