col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
John Wheeler House,John Wheeler,"[0, 1]"
Todd House,John Todd,"[0, 1]"
Beechland,Jacob Yoder,"[0, 1]"
The Blue House,Samuli Paulaharju,"[0, 1]"
Jennings House,Horatio Sharpe,"[0, 1]"
Charnwood,Hitchin Museum and Art Gallery,"[0, 1]"
Hammond House,John A. Hammond,"[0, 1]"
Newman House,Grey Court School,"[0, 1]"
Coral Gables Merrick House,George E. Merrick,"[0, 1]"
Gene Stratton Porter Cabin,Gene Stratton-Porter,"[0, 1]"
McCoy House,Frank Ross McCoy,"[0, 1]"
Arbour House,Ezekiel Stone Wiggins,"[0, 1]"
Scarborough House,Edmund Scarborough,"[0, 1]"
Wilmot House,David Wilmot,"[0, 1]"
Haworth Art Gallery,Haworth Art Gallery,"[0, 1]"
Gosfield School,Gosfield School,"[0, 1]"
