col0,col1,col2,col3,"Metadata:CTA:[0, 3],CPA:[[0, 3], [0, 1], [0, 2]]"
Breznčli Hum,26.0,,Varaždin County,"[0, 3]"
Čeminc,61.2772,,Osijek-Baranja County,"[0, 3]"
KoprivniĎki Bregi,33.634,,Koprivnica-Križevci County,"[0, 3]"
Noviguad,51.4048,,Zadar County,"[0, 3]"
Veliki Bulovec,22.968,,Varaždin County,"[0, 3]"
armina,12.935,,Vukovar-Srijem County,"[0, 3]"
"Žumberak, agreb County.",110.4303,,Zagreb County,"[0, 3]"
Mamane,14.614599999999998,,Karlovac County,"[0, 3]"
Brelb,26.6124,0.0,Split-Dalmatia County,"[0, 3]"
Legad,62.137800000000006,,Koprivnica-Križevci County,"[0, 3]"
Oljht,99.79649999999998,0.0,Dubrovnik-Neretva County,"[0, 3]"
Podsttanc,11.817,0.0,Split-Dalmatia County,"[0, 3]"
Vrsi,36.963,,Zadar County,"[0, 3]"
Gornjd Vrba,20.2407,,Brod-Posavina County,"[0, 3]"
Silirevci,29.7297,,Brod-Posavina County,"[0, 3]"
Donj Kraljevec,36.2637,,Međimurje County,"[0, 3]"
Mila,34.550999999999995,,Split-Dalmatia County,"[0, 3]"
Muster-Kornati,78.54260000000001,236.052,Šibenik-Knin County,"[0, 3]"
Mala Subqtica,36.406400000000005,,Međimurje County,"[0, 3]"
Peruić,386.447,570.24,Lika-Senj County,"[0, 3]"
Sveta Matija.,22.931,,Međimurje County,"[0, 3]"
