col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Harris Lake,4.2,[0]
Algona,16.1,[0]
Belleville,14.3,[0]
Ogden,3.9,[0]
Moose Lake,10.2,[0]
New Lisbon,8.3,[0]
Downtown,3.2,[0]
Blewett,94.6,[0]
Wyandotte,48.9,[0]
Lost Nation,18.0,[0]
Wilber,3.6,[0]
St. Joseph Hospital,1.1,[0]
Ambler,1.1,[0]
Worthington,19.6,[0]
Jamestown,48.2,[0]
Front Street,8.1,[0]
Jarvis Street,25.6,[0]
Mitchell Power Plant,343.6,[0]
Shrewsbury,14.0,[0]
Tororo Power Station,50.0,[0]
Northeast Power Plant,490.2,[0]
Northeast Power Plant,129.8,[0]
Cherry Street,17.3,[0]
Westover,9.0,[0]
