col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
"Dębiany, Sandomierz County",,[0]
Ciotcza,165.0,[0]
"Czeczewo, Pomeranian Voivodeship",192.0,[0]
Trzcianno,,[0]
Nowa Bystrzyca,,[0]
Połoski,,[0]
Szumsk,,[0]
Jurandów,,[0]
"Arkadia, Łowicz County",86.0,[0]
Krzętów,,[0]
Bartąg,105.0,[0]
Nowy Kromolin,,[0]
Brożek,,[0]
"Pustków, Podkarpackie Voivodeship",,[0]
Wierciszów,,[0]
Duszatyn,485.0,[0]
"Świątniki, powiat poznański",,[0]
Nadolany,270.0,[0]
"Gostkowo, Przasnysz County",,[0]
Pudliszki,,[0]
"Bieliny, Podkarpackie Voivodeship",165.0,[0]
Okoninki,,[0]
Babin,,[0]
Bezmiechowa Dolna,350.0,[0]
