col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
Yugoslav Sign Language,5 Developing,"[0, 1]"
Surinamese Sign Language,,[0]
Seychelles Sign Language,,[0]
Finnish Sign Language,5 Developing,"[0, 1]"
American Sign Language,5 Developing,"[0, 1]"
Danish Sign Language,5 Developing,"[0, 1]"
Jumla Sign Language,6b Threatened,"[0, 1]"
Bangladesh Sign Language,,[0]
Qahveh Khaneh Sign Language,,[0]
Penang Sign Language,8a Moribund,"[0, 1]"
Maltese Sign Language,5 Developing,"[0, 1]"
Jamaican Country Sign Language,8a Moribund,"[0, 1]"
Old French Sign Language,,[0]
Indonesian Sign Language,6a Vigorous,"[0, 1]"
Ugandan Sign Language,5 Developing,"[0, 1]"
Argentine Sign Language,5 Developing,"[0, 1]"
Swiss-German Sign Language,5 Developing,"[0, 1]"
Mozambican Sign Language,5 Developing,"[0, 1]"
Flemish Sign Language,5 Developing,"[0, 1]"
Kuwaiti Sign Language,,[0]
Jhankot Sign Language,6a Vigorous,"[0, 1]"
Plains Indian Sign Language,8b Nearly Extinct,"[0, 1]"
New Zealand Sign Language,6b Threatened,"[0, 1]"
