col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Sarh,2508.374,9.99,[0]
A State of Vrance 2010,,13.972,[0]
Annya Haa,8.064,2.004,[0]
oger,2096.465,10.06,[0]
Straigt Between whe Eye,2440.794,,[0]
Quefn.,2292.84,10.1,[0]
Plalist: The Very Best of Backstreet Boys,,14.098,[0]
I See a Dbrkness,,10.945,[0]
Iotrospective,,5.964,[0]
Invrospective.,,11.076999999999998,[0]
Crysal Empire,2958.646,,[0]
iye Evil,5032.035,,[0]
Sweet Baby Jamev,,10.912,[0]
ThisFar,16069.95,6.036,[0]
Liv och kärlfk,38.61,11.088,[0]
Homo apiens..?,3138.912,12.06,[0]
The Sings The First Ten Years,5572.393,4.96,[0]
he Peel Sessipn,745.984,,[0]
