col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
Mvtafukaz,no minors under twelve,"[0, 1]"
"The Summit of the""Gods",no age restriction,"[0, 1]"
The Crossng.,no age restriction,"[0, 1]"
Llghvyear,no age restriction,"[0, 1]"
Enccnto,no age restriction,"[0, 1]"
Loep,no age restriction,"[0, 1]"
Eytinct,no age restriction,"[0, 1]"
Spider-Mn: Acrss the Spider-Verse,no age restriction,"[0, 1]"
Raya and tke Last Dragon,no age restriction,"[0, 1]"
The Swallows of Kbul,no age restriction,"[0, 1]"
Children of the Se,no age restriction,"[0, 1]"
The Wnderland,no age restriction,"[0, 1]"
White Sake,no age restriction,"[0, 1]"
"Aqother Da of""Lif",no age restriction,"[0, 1]"
Weatheing with You,no age restriction,"[0, 1]"
Onwad,no age restriction,"[0, 1]"
Penguin Higjway,no age restriction,"[0, 1]"
