col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Uribia,117674.0,[0]
El Peñol,,[0]
San Luis de Gaceno,,[0]
Alcalá,14062.0,[0]
Paratebueno,7835.0,[0]
Guadalupe,22867.0,[0]
La Primavera,17626.0,[0]
"Toro, Tolima",,[0]
La Capilla,,[0]
San Estanislao,,[0]
López de Micay,20867.0,[0]
Galeras,21548.0,[0]
Ubalá,,[0]
San Juan Betulia,,[0]
Natagaima,22320.0,[0]
El Retén,20981.0,[0]
Fomeque,,[0]
"El Molino, La Guajira",9121.0,[0]
Turmequé,,[0]
"El Carmen, Santander",20858.0,[0]
Gutiérrez,,[0]
Guaitarilla,,[0]
Vigía del Fuerte,,[0]
Cisneros,11555.0,[0]
