col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Sackler Prize for Chemistry,Sackler Prize,"[0, 1]"
Tony Award for Best Actor in a Musical,Tony Awards,"[0, 1]"
Critics' Choice Television Award for Best Actress in a Comedy Series,,[0]
Tony Award for Best Director,Tony Awards,"[0, 1]"
Southland Conference Men's Basketball Player of the Year,,[0]
Florida Film Critics Circle Award for Best Screenplay,,[0]
Gopo Award for Best Directorial Debut,,[0]
Satellite Award for Best Miniseries or Television Film,,[0]
Billboard Music Award for Top Rock Song,,[0]
TVyNovelas for Best Child Performance,Premios TVyNovelas,"[0, 1]"
Academy of Canadian Cinema and Television Award for Best Motion Picture,,[0]
Vijay Award for Best Villain,,[0]
Tamil Nadu State Film Award for Best Villain,,[0]
