col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Nahori Tea Garden (Balasom),1207.0,[0]
Liza Hill Tea Garden,736.0,[0]
Tea Garden Monte Verità,,[0]
Edenvale Tea Garden,86.0,[0]
Dimdima Tea Garden,3833.0,[0]
Luksan Tea Garden,3994.0,[0]
Debpara Tea Garden (D),2684.0,[0]
Lebong & Mineral Spring Tea Garden,3052.0,[0]
Saptiguri Khelaghar Tea Garden,272.0,[0]
Darjiling Hilldoars Tea Garden,800.0,[0]
Chunia Jhora Tea Garden,1381.0,[0]
Washabari Tea Garden,2061.0,[0]
Maharani Tea Garden,485.0,[0]
Teesta Valley Tea Garden,3060.0,[0]
Gopalpur Tea Garden,2796.0,[0]
Gatia Tea Garden,3005.0,[0]
Nipuchhapur Tea Garden,1512.0,[0]
Lopchu Tea Estate,,[0]
