col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
Quatuor,,Befimmo,Jaspers-Eyers Architects,"[0, 2, 3]"
Turkish House,,Ministry of Foreign Affairs of the Republic of Turkey,Perkins Eastman,"[0, 2, 3]"
Cedar,,ING Group,Benthem Crouwel Architekten,"[0, 2, 3]"
Day 1,Amazon Headquarters Complex,Amazon,NBBJ,"[0, 1, 2, 3]"
Eurotower,,"Fubon Financial Holding Co., Ltd.",Johannes Krahn,"[0, 2, 3]"
Albion Hotel,Miami Beach Architectural District,,Igor B. Polevitzky,"[0, 1, 3]"
Konrad-Adenauer-Haus,Weg der Demokratie,Christian Democratic Union,Max Meid,"[0, 1, 2, 3]"
Salesforce Tower,,Boston Properties,César Pelli,"[0, 2, 3]"
The Tides,WTW complex at Wioślarska Street in Warsaw,,Kuryłowicz & Associates,"[0, 1, 3]"
Meiji Seimei Kan,Marunouchi My Plaza,,Shin'ichirō Okada,"[0, 1, 3]"
Transportation Building,Rideau Centre,,John Albert Ewart,"[0, 1, 3]"
