col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 2], [0, 1]]"
St. Ignatius High School,1850-01-01,,[0]
St John's Priory School,1957-11-28,St John's Priory School,"[0, 2]"
St Cuthbert's College,1915-01-01,Epsom,"[0, 2]"
Chaminade College Preparatory School,1952-01-01,,[0]
GD Goenka Toddler House,2019-04-20,Kanta Kathuria Colony,"[0, 2]"
The Meadows School,1984-01-01,,[0]
Lindisfarne College,1891-01-01,,[0]
Lindisfarne College,1953-04-14,Frimley,"[0, 2]"
Scots College,1916-01-01,Strathmore,"[0, 2]"
Rocket School,2018-02-01,Pohuehue,"[0, 2]"
St. George's Grammar School,1848-04-11,Mowbray,"[0, 2]"
St George's School,,Whanganui,"[0, 2]"
St. Andrew's School,1978-01-01,,[0]
Colegio Champagnat,1927-01-01,,[0]
Pigier,1850-01-01,,[0]
Hendon College,2018-01-01,Abuja,"[0, 2]"
Saint George's School,1955-01-01,,[0]
Methodist Ladies' College,1882-01-01,,[0]
St Andrew's College,1917-01-01,Bryndwr,"[0, 2]"
Westminster School,1888-01-01,,[0]
