col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Montague Township,310,19.3,[0]
Pine Grove Township,284,35.0,[0]
Bloomfield Township,218,36.0,[0]
Bloomfield Township,322,35.7,[0]
Hadley Township,283,36.1,[0]
Center Township,224,35.3,[0]
Ransom Township,305,30.2,[0]
Eagle Township,254,91.6,[0]
Newkirk Township,287,72.8,[0]
Webster Township,281,93.0,[0]
Dickson Township,262,71.7,[0]
Bay Township,258,48.9,[0]
Springfield Township,319,35.5,[0]
Springfield Township,310,36.7,[0]
North Branch Township,249,36.3,[0]
Waverly Township,206,137.5,[0]
Waverly Township,209,89.1,[0]
Merritt Township,179,82.03,[0]
Le Roy Township,352,35.1,[0]
