col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Multicultural Perspectives,,[0]
Emerging Trends in Education,6.0,[0]
Metalurgija,,[0]
Agricultural and Food Science,,[0]
Journal of the American Geriatrics Society,,[0]
Phytochemistry,,[0]
Journal of Statistics Education,,[0]
Resuscitation,,[0]
Review of Religious Research,3.0,[0]
Administrative Law and Process,1.0,[0]
South East Asian Journal of Management,,[0]
The Foot,,[0]
Religious Studies Review,3.0,[0]
The Annual of Urdu Studies,1.0,[0]
Istmo: Revista virtual de estudios literarios y,,[0]
Methodos,,[0]
Goettingen Journal of International Law,,[0]
T'oung Pao,,[0]
PeerJ,,[0]
