col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
alabarnik,89.19,[0]
Gaabarnika,52.416,[0]
Galdbarnikd,13.93,[0]
Galabarnjka,45.586,[0]
Hemeikovata,12.0,[0]
Hrsovska jaskyna,787.8,[0]
Bankoves,54.89,[0]
Stoyanvata peshtera.,148.95,[0]
Hermit cdve at Khao Ngu,,[0]
Kiao Chang Hai cave,,[0]
Teufelsloc,,[0]
anchov pchelin,50.24999999999999,[0]
Majorshöhle (C188) uod Höhlenruine (C189) N von Siegritzberg.,30.0,[0]
opknot Cave,,[0]
Cueva Plácieo,,[0]
Skalen manastir Pragovet,26.078,[0]
Prohodna nad Valchi skk.,19.92,[0]
